invert,sepia,saturate,hue-rotate,brightness,contrast
42,90,984,85,99,115
44,39,2445,87,102,113
41,87,1107,87,102,113
38,100,1049,88,105,110
43,53,3066,91,110,107
43,48,2019,88,105,113
48,63,3024,87,104,114
40,88,1092,87,104,114
40,93,1991,90,112,108
41,94,977,86,104,114
41,98,1902,91,109,114
42,83,1464,87,107,112
49,30,6843,91,111,112
39,67,1798,90,114,108
68,90,5436,91,111,113
48,45,2728,86,105,118
48,31,3704,87,107,117
53,98,3675,89,114,110
51,70,2639,84,103,123
39,88,1459,90,113,115
58,100,3973,88,113,113
47,95,2590,88,112,114
44,91,2703,92,116,112
41,83,1683,89,115,112
48,99,2859,90,114,115
52,93,3329,89,112,118
44,84,1588,86,111,117
45,96,2373,88,116,113
49,90,1812,84,105,125
51,52,4167,87,114,116
39,99,1633,89,121,110
51,67,3755,88,115,116
53,70,3470,86,112,120
55,74,4450,89,119,115
44,88,1732,88,113,121
51,33,4822,87,113,121
56,68,2279,79,101,134
42,91,1017,86,114,120
55,67,3081,83,108,126
57,75,3782,85,114,121
52,95,2696,85,114,121
43,85,1480,86,116,121
60,68,5123,87,120,117
51,96,1693,82,106,131
45,67,2304,89,120,118
63,78,5283,91,121,120
44,92,843,80,110,133
63,100,4193,87,121,118
65,69,5702,89,121,120
46,40,3534,90,124,118
68,52,6492,82,115,127
55,80,4270,91,125,118
53,100,3106,88,120,123
53,58,4437,89,123,121
63,85,4502,88,120,124
42,71,1295,88,124,120
65,58,5654,84,118,126
50,93,2672,86,123,120
64,76,4823,85,123,121
54,31,4851,83,118,127
48,53,2724,86,126,115
0,97,14,239,93,100
8,29,311,129,95,118
5,58,774,57,94,114
3,28,4992,79,103,110
3,52,419,87,93,105
1,39,7467,123,89,101
2,70,1568,126,99,102
3,25,2545,85,91,103
4,9,3827,73,94,103
6,43,591,79,95,110
4,66,1122,79,98,107
6,15,5332,80,93,111
6,67,687,60,96,109
5,41,3938,83,95,110
7,9,4539,83,91,109
4,95,1884,87,94,103
7,100,503,62,92,109
5,71,971,92,103,106
5,60,2971,106,92,106
4,75,3582,96,89,102
8,13,4012,80,95,106
7,13,6168,82,97,104
5,28,6939,92,97,102
8,11,7467,78,95,105
6,43,2678,84,100,104
6,30,6798,89,94,105
8,90,729,85,93,106
8,76,935,77,97,105
3,96,4897,114,98,104
8,56,1522,87,97,105
9,28,4371,113,94,110
7,65,2032,89,98,104
10,34,3102,86,89,106
6,83,3058,93,98,105
8,98,1150,87,102,105
9,68,1538,88,98,107
10,85,917,80,94,104
11,45,2195,81,95,108
7,37,7278,95,93,102
12,47,1650,87,93,107
8,37,5602,95,99,104
8,35,6540,99,91,104
10,39,3618,103,92,104
11,19,5015,89,104,105
12,15,5487,87,100,106
11,21,6720,93,95,105
12,33,3703,96,91,107
14,38,1810,87,95,110
11,42,3257,100,97,106
11,26,4989,99,102,105
13,56,1212,81,102,106
12,23,5830,100,94,105
13,40,2375,93,101,105
13,19,6063,99,98,104
12,40,3626,97,100,106
12,55,3004,92,98,104
13,71,2333,99,90,108
13,67,2124,96,96,105
14,65,2122,98,92,107
14,85,1233,90,97,106
15,36,3494,88,96,106
15,23,5174,98,97,105
16,33,3128,91,94,103
11,81,2922,102,96,106
15,34,4138,96,93,106
18,29,3306,93,94,108
14,67,2248,99,100,108
14,85,1822,98,97,105
14,46,3481,98,100,109
18,39,2877,95,93,108
13,71,2805,103,98,105
14,64,2266,100,103,104
17,49,2767,93,93,105
18,48,1687,86,101,107
16,43,3782,93,97,105
15,46,4484,105,92,105
13,77,3479,97,97,104
16,65,2239,96,100,102
17,34,4383,98,98,108
10,92,3931,109,99,105
18,20,6695,102,98,103
19,93,1073,89,91,103
14,94,2189,100,100,104
15,75,3229,100,93,104
16,86,2213,101,97,106
16,43,4775,100,100,104
16,83,2421,100,93,107
19,44,3764,97,91,106
19,34,5027,102,93,106
16,89,2122,106,96,104
15,90,3292,95,90,103
14,76,3659,105,97,103
12,97,3941,93,100,104
19,35,4734,98,98,105
13,60,5947,99,97,103
16,78,2606,99,102,107
13,74,4775,109,100,104
21,28,6121,95,96,105
14,100,6772,93,95,104
19,55,3337,100,96,106
16,97,2360,104,99,105
19,99,1653,98,98,107
19,39,5649,100,97,104
12,100,5432,92,98,105
16,100,2775,102,96,105
14,97,7457,99,98,103
16,50,5659,106,99,103
18,52,5208,96,96,101
15,67,5346,94,103,102
26,33,3814,96,92,107
24,81,1512,93,96,103
19,45,5006,105,102,104
20,94,1862,106,101,105
28,56,2059,93,90,109
20,84,2401,107,97,103
17,99,4339,94,96,101
17,64,4706,94,102,104
22,100,6598,110,94,103
19,92,4884,106,92,103
16,99,5669,107,98,102
17,99,6010,116,96,103
23,54,6654,109,89,101
19,71,5324,98,97,107
18,99,6270,113,99,102
28,22,6629,98,93,101
24,97,7112,123,97,106
29,99,1089,90,91,106
28,86,1076,87,101,106
21,86,5329,114,96,105
22,79,3852,97,96,105
27,48,5451,112,88,103
26,98,1618,94,94,104
22,84,2547,94,104,107
20,89,6591,125,101,108
28,99,1559,92,92,109
20,99,3407,109,98,103
22,100,3085,109,96,104
24,68,7251,113,102,102
23,98,2804,104,96,108
24,69,5836,120,98,103
24,59,6003,117,99,104
25,99,2415,100,96,107
27,78,3890,110,96,107
